"id","name","code","account_type","chart_template_id:id","tag_ids/id","reconcile"
"tz0010","Software","0010","asset_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz0020","Patents & Trademarks","0020","asset_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz0030","Fixtures and fittings","0030","asset_fixed","l10n_tz.l10ntz_chart_template","","False"
"tz0040","Land and buildings","0040","asset_fixed","l10n_tz.l10ntz_chart_template","","False"
"tz0050","Motor vehicles","0050","asset_fixed","l10n_tz.l10ntz_chart_template","","False"
"tz0060","Office equipment (inc computer equipment)","0060","asset_fixed","l10n_tz.l10ntz_chart_template","","False"
"tz0070","Plant and machinery","0070","asset_fixed","l10n_tz.l10ntz_chart_template","","False"
"tz0080","Financial assets","0080","asset_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz0090","Biological assets","0090","asset_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz1001","Stock","1001","asset_current","l10n_tz.l10ntz_chart_template","","True"
"tz100110","Stock Interim (Received)","100110","asset_current","l10n_tz.l10ntz_chart_template","","True"
"tz100120","Stock Interim (Delivered)","100120","asset_current","l10n_tz.l10ntz_chart_template","","True"
"tz1002","Work in Progress","1002","asset_current","l10n_tz.l10ntz_chart_template","","False"
"tz1003","Finished Goods","1003","asset_current","l10n_tz.l10ntz_chart_template","","False"
"tz1100","Debtors Control Account","1100","asset_receivable","l10n_tz.l10ntz_chart_template","","True"
"tz110010","Debtors Control Account (POS)","110010","asset_receivable","l10n_tz.l10ntz_chart_template","","True"
"tz1101","Sundry Debtors","1101","asset_receivable","l10n_tz.l10ntz_chart_template","","True"
"tz1102","Other Debtors","1102","asset_current","l10n_tz.l10ntz_chart_template","","False"
"tz1103","Prepayments","1103","asset_prepayments","l10n_tz.l10ntz_chart_template","","False"
"tz1110","Purchase Tax Control Account","1110","asset_current","l10n_tz.l10ntz_chart_template","","False"
"tz1120","Withholding Tax Advance on Sales","1120","asset_current","l10n_tz.l10ntz_chart_template","","True"
"tz2100","Creditors Control Account","2100","liability_payable","l10n_tz.l10ntz_chart_template","","True"
"tz2101","Sundry Creditors","2101","liability_current","l10n_tz.l10ntz_chart_template","","False"
"tz2102","Other Creditors","2102","liability_current","l10n_tz.l10ntz_chart_template","","False"
"tz2103","Accruals","2103","liability_current","l10n_tz.l10ntz_chart_template","","False"
"tz2104","Company Credit Card","2104","liability_credit_card","l10n_tz.l10ntz_chart_template","","True"
"tz2105","Bad debt provision","2105","liability_current","l10n_tz.l10ntz_chart_template","","False"
"tz2200","Sales Tax Control Account","2200","liability_current","l10n_tz.l10ntz_chart_template","","False"
"tz2201","HMRC - VAT Account","2201","liability_payable","l10n_tz.l10ntz_chart_template","","True"
"tz2202","Manual Adjustments & VAT","2202","liability_current","l10n_tz.l10ntz_chart_template","","False"
"tz2203","Withholding Tax Payable","2203","liability_current","l10n_tz.l10ntz_chart_template","","True"
"tz2210","P.A.Y.E. & NI","2210","liability_payable","l10n_tz.l10ntz_chart_template","","True"
"tz2220","Net Wages","2220","liability_payable","l10n_tz.l10ntz_chart_template","","True"
"tz2230","Pension Fund","2230","liability_payable","l10n_tz.l10ntz_chart_template","","True"
"tz2240","Corporation Tax","2240","liability_payable","l10n_tz.l10ntz_chart_template","","True"
"tz2300","Loans","2300","liability_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz2310","Hire Purchase","2310","liability_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz2320","Mortgages","2320","liability_non_current","l10n_tz.l10ntz_chart_template","","False"
"tz3000","Called up share capital","3000","equity","l10n_tz.l10ntz_chart_template","","False"
"tz3010","Share premium account","3010","equity","l10n_tz.l10ntz_chart_template","","False"
"tz3020","Revaluation reserve","3020","equity","l10n_tz.l10ntz_chart_template","","False"
"tz3030","Other reserves","3030","equity","l10n_tz.l10ntz_chart_template","","False"
"tz3040","Capital","3040","equity","l10n_tz.l10ntz_chart_template","","False"
"tz4001","Sales category 1","4001","income","l10n_tz.l10ntz_chart_template","","False"
"tz4002","Sales category 2","4002","income","l10n_tz.l10ntz_chart_template","","False"
"tz4003","Sales category 3","4003","income","l10n_tz.l10ntz_chart_template","","False"
"tz4004","Sales category 4","4004","income","l10n_tz.l10ntz_chart_template","","False"
"tz4005","Bank Interest received","4005","income","l10n_tz.l10ntz_chart_template","","False"
"tz4006","Investment Interest received","4006","income","l10n_tz.l10ntz_chart_template","","False"
"tz4007","Revenue Income","4007","income","l10n_tz.l10ntz_chart_template","","False"
"tz400710","Cash Discount Gain","400710","income_other","l10n_tz.l10ntz_chart_template","","False"
"tz4008","Profits/Losses on disposals of assets","4008","income","l10n_tz.l10ntz_chart_template","","False"
"tz4010","Other Income","4010","income_other","l10n_tz.l10ntz_chart_template","","False"
"tz5001","Cost of sales 1","5001","expense_direct_cost","l10n_tz.l10ntz_chart_template","","False"
"tz5002","Cost of sales 2","5002","expense_direct_cost","l10n_tz.l10ntz_chart_template","","False"
"tz5003","Cost of sales 3","5003","expense_direct_cost","l10n_tz.l10ntz_chart_template","","False"
"tz5004","Cost of sales 4","5004","expense_direct_cost","l10n_tz.l10ntz_chart_template","","False"
"tz5101","Marketing","5101","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5102","Exhibitions and events","5102","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5103","PR","5103","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5104","Distribution vehicles","5104","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5105","Distribution salaries and wages","5105","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5106","Shipping","5106","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5107","Directors pension","5107","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5108","Directors remuneration","5108","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5109","Gross Salaries","5109","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5110","Employers SDL & UIF","5110","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5111","Subcontractors payments","5111","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5112","Rent and rates","5112","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5113","Light / heat and power","5113","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5114","Repairs and maintenance","5114","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5115","Car hire","5115","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5116","Car fuel","5116","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5117","Car maintenance","5117","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5118","Telephone","5118","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5119","Internet & hosting","5119","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5120","Mobiles","5120","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5121","Stationery","5121","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5122","Office consumables","5122","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5123","Postage and Carriage","5123","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5124","Books","5124","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5125","Network costs","5125","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5126","Software expenses","5126","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5127","Other computer costs","5127","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5128","Recruitment fees","5128","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5129","Other admin expenses","5129","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5130","Accounting","5130","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5131","Auditing","5131","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5132","Consultancy","5132","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5133","Legal and professional charges","5133","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5134","Exchange gains/losses","5134","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5135","Other sundry expenses","5135","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5136","Bad debts","5136","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5137","Interest paid","5137","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5138","Bank Charges","5138","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5139","Donations","5139","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5140","Entertaining","5140","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5141","Insurance","5141","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5142","Travel and subsistence","5142","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5143","Corporation tax expense","5143","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5144","Foreign Exchange Gains/Losses","5144","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5145","Price Differences Control Account","5145","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5146","Cash Register Gains/Losses","5146","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5147","Cash Discount Loss","5147","expense","l10n_tz.l10ntz_chart_template","","False"
"tz5201","Software Depreciation","5201","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
"tz5202","Patents & Trademarks Depreciation","5202","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
"tz5203","Fixtures and fittings Depreciation","5203","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
"tz5204","Land and buildings Depreciation","5204","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
"tz5205","Motor vehicles Depreciation","5205","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
"tz5206","Office equipment (inc computer equipment) Depreciation","5206","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
"tz5207","Plant and machinery Depreciation","5207","expense_depreciation","l10n_tz.l10ntz_chart_template","","False"
